,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
↹,sym.arrow.dual.left_right_bar,\barleftarrowrightarrowbar,,,,,,
⇋,sym.arrow.dualharpoon.left_right,\leftrightharpoons,,&leftrightharpoons,&lrhar,,,
⇌,sym.arrow.dualharpoon.right_left,\rightleftharpoons,,&rightleftharpoons,&rlhar,,,
↜,sym.arrow.wave.left,\leftwavearrow,,,,~>l,,
↝,sym.arrow.wave.right,\rightwavearrow,\leadsto,,&rarrw,~>r,~>,
⇜,sym.arrow.wiggle.left,\leftsquigarrow,,,,~~>l,,
⇝,sym.arrow.wiggle.right,\rightsquigarrow,,,&zigrarr,~~>r,~~>,
↭,sym.arrow.wiggle.leftright,\leftrightsquigarrow,,,&harrw,<~>lr,<~>,
⇠,sym.arrow.dashed.left,\dashedleftarrow,,,,,,
⇡,sym.arrow.dashed.up,\updasharrow,,,,,,
⇢,sym.arrow.dashed.right,\dashedrightarrow,,,,,,
⇣,sym.arrow.dashed.down,\downdasharrow,,,,,,
⤌,sym.arrow.dashed_double.left,\leftbkarrow,,,,,,
⤍,sym.arrow.dashed_double.right,\rightbkarrow,,,,,,
⤎,sym.arrow.dashed_tripple.left,\leftdbkarrow,,,,,,
⤏,sym.arrow.dashed_tripple.right,\dbkarrow,,,,,,
,,,,,,,,
⟵,sym.arrow.long.left,\longleftarrow,,,,-->l,<--,
⟶,sym.arrow.long.right,\longrightarrow,,,,-->r,-->,
⟷,sym.arrow.long.leftright,\longleftrightarrow,,,,<-->lr,<-->,
⟻,sym.arrow.long.left_tailbar,\longmapsfrom,,,,|-->l,<--|,
⟼,sym.arrow.long.right_tailbar,\longmapsto,,,,|-->r,|-->,
⟸,sym.arrow.longdouble.left,\Longleftarrow,,,,==>l,<==,
⟹,sym.arrow.longdouble.right,\Longrightarrow,,,,==>r,==>,
⟺,sym.arrow.longdouble.leftright,\Longleftrightarrow,,,,<==>lr,<==>,
